学生ID,学生姓名,课程ID,课程名,总分,学分,绩点,学分绩点,补考,性质
0001,赵六,平均分：,73.33,平均学分绩点(专业课)：,3.50
,,A001,高等数学,100.00,5.00,4.00,20.00,0.00,1
,,B002,Python,60.00,1.00,1.00,1.00,0.00,2
,,B001,大学外语,60.00,1.00,0.00,0.00,0.00,2
0003,王五,平均分：,100.00,平均学分绩点(专业课)：,4.00
,,A001,高等数学,100.00,5.00,4.00,20.00,0.00,1
,,B002,Python,100.00,5.00,4.00,20.00,0.00,2
,,B001,大学外语,100.00,4.00,0.00,0.00,0.00,2
0002,李四,平均分：,80.00,平均学分绩点(专业课)：,3.00
,,A001,高等数学,80.00,4.00,3.00,12.00,0.00,1
,,B002,Python,80.00,4.00,3.00,12.00,0.00,2
,,B001,大学外语,80.00,3.00,0.00,0.00,0.00,2
